noc,gold,silver,bronze,total
BLR,0,2,0,2
ESP,0,1,0,1
UKR,0,1,0,1
BEL,0,1,0,1
EST,0,0,1,1
LVA,0,0,1,1
POL,0,0,1,1
USA,40,44,42,126
CHN,40,27,24,91
JPN,20,12,13,45
AUS,18,19,16,53
FRA,16,26,22,64
NED,15,7,12,34
GBR,14,22,29,65
KOR,13,9,10,32
ITA,12,13,15,40
GER,12,13,8,33
NZL,10,7,3,20
CAN,9,7,11,27
UZB,8,2,3,13
HUN,6,7,6,19
ESP,5,4,9,18
SWE,4,4,3,11
KEN,4,2,5,11
NOR,4,1,3,8
IRL,4,0,3,7
BRA,3,7,10,20
IRI,3,6,3,12
UKR,3,5,4,12
ROU,3,4,2,9
GEO,3,3,1,7
BEL,3,1,6,10
BUL,3,1,3,7
SRB,3,1,1,5
CZE,3,0,2,5
DEN,2,2,5,9
CRO,2,2,3,7
AZE,2,2,3,7
CUB,2,1,6,9
BRN,2,1,1,4
SLO,2,1,0,3
TPE,2,0,5,7
AUT,2,0,3,5
PHI,2,0,2,4
HKG,2,0,2,4
INA,2,0,1,3
ALG,2,0,1,3
ISR,1,5,1,7
POL,1,4,5,10
KAZ,1,3,3,7
JAM,1,3,2,6
THA,1,3,2,6
RSA,1,3,2,6
AIN,1,3,1,5
ETH,1,3,0,4
SUI,1,2,5,8
ECU,1,2,2,5
POR,1,2,1,4
GRE,1,1,6,8
ARG,1,1,1,3
EGY,1,1,1,3
TUN,1,1,1,3
LCA,1,1,0,2
CHI,1,1,0,2
UGA,1,1,0,2
BOT,1,1,0,2
DOM,1,0,1,2
MAR,1,0,1,2
PAK,1,0,0,1
DMA,1,0,0,1
TUR,0,3,5,8
MEX,0,3,2,5
COL,0,3,1,4
ARM,0,3,1,4
PRK,0,2,4,6
KGZ,0,2,4,6
LTU,0,2,2,4
IND,0,1,5,6
MDA,0,1,3,4
KOS,0,1,1,2
PAN,0,1,0,1
JOR,0,1,0,1
CYP,0,1,0,1
MGL,0,1,0,1
FIJ,0,1,0,1
TJK,0,0,3,3
ALB,0,0,2,2
GRN,0,0,2,2
PUR,0,0,2,2
MAS,0,0,2,2
CPV,0,0,1,1
QAT,0,0,1,1
ZAM,0,0,1,1
SIN,0,0,1,1
CIV,0,0,1,1
ROT,0,0,1,1
PER,0,0,1,1
SVK,0,0,1,1
USA,44,32,25,101
RUS,26,21,16,63
GER,20,18,27,65
CHN,16,22,12,50
FRA,15,7,15,37
ITA,13,10,12,35
AUS,9,9,23,41
CUB,9,8,8,25
UKR,9,2,12,23
KOR,7,15,5,27
POL,7,5,5,17
HUN,7,4,10,21
ESP,5,6,6,17
ROU,4,7,9,20
NED,4,5,10,19
GRE,4,4,0,8
CZE,4,3,4,11
SUI,4,3,0,7
DEN,4,1,1,6
TUR,4,1,1,6
CAN,3,11,8,22
BUL,3,7,5,15
JPN,3,6,5,14
KAZ,3,4,4,11
BRA,3,3,9,15
NZL,3,2,1,6
RSA,3,1,1,5
IRL,3,0,1,4
SWE,2,4,2,8
NOR,2,2,3,7
BEL,2,2,2,6
NGR,2,1,3,6
PRK,2,1,2,5
ETH,2,0,1,3
ALG,2,0,1,3
GBR,1,8,6,15
BLR,1,6,8,15
KEN,1,4,3,8
JAM,1,3,2,6
FIN,1,2,1,4
YUG,1,1,2,4
INA,1,1,2,4
SVK,1,1,1,3
IRI,1,1,1,3
CRO,1,1,0,2
ARM,1,1,0,2
POR,1,0,1,2
THA,1,0,1,2
HKG,1,0,0,1
CRC,1,0,0,1
BDI,1,0,0,1
SYR,1,0,0,1
ECU,1,0,0,1
ARG,0,2,1,3
SLO,0,2,0,2
NAM,0,2,0,2
AUT,0,1,2,3
UZB,0,1,1,2
MAS,0,1,1,2
MDA,0,1,1,2
PHI,0,1,0,1
BAH,0,1,0,1
ZAM,0,1,0,1
AZE,0,1,0,1
LAT,0,1,0,1
TPE,0,1,0,1
TGA,0,1,0,1
GEO,0,0,2,2
TTO,0,0,2,2
MAR,0,0,2,2
TUN,0,0,1,1
UGA,0,0,1,1
LTU,0,0,1,1
MEX,0,0,1,1
MGL,0,0,1,1
IND,0,0,1,1
MOZ,0,0,1,1
PUR,0,0,1,1
USA,36,39,26,101
CHN,32,17,15,64
RUS,28,26,36,90
AUS,17,16,17,50
JPN,16,9,12,37
GER,13,16,20,49
FRA,11,9,13,33
ITA,10,11,11,32
KOR,9,12,9,30
GBR,9,9,12,30
CUB,9,7,11,27
HUN,8,6,3,17
UKR,8,5,9,22
ROU,8,5,6,19
GRE,6,6,4,16
BRA,5,2,3,10
NOR,5,0,1,6
NED,4,9,9,22
SWE,4,2,1,7
ESP,3,11,6,20
CAN,3,6,3,12
TUR,3,4,4,11
POL,3,2,5,10
NZL,3,2,0,5
THA,3,1,4,8
BLR,2,5,7,14
AUT,2,4,1,7
ETH,2,3,2,7
IRI,2,2,2,6
SVK,2,2,2,6
TPE,2,2,1,5
GEO,2,2,0,4
BUL,2,1,9,12
DEN,2,1,5,8
UZB,2,1,2,5
JAM,2,1,2,5
MAR,2,1,0,3
ARG,2,0,4,6
CHI,2,0,1,3
KAZ,1,4,3,8
KEN,1,4,2,7
CZE,1,3,5,9
RSA,1,3,2,6
CRO,1,2,2,5
LTU,1,2,0,3
SUI,1,1,3,5
EGY,1,1,3,5
INA,1,1,2,4
ZIM,1,1,1,3
AZE,1,0,4,5
BEL,1,0,2,3
ISR,1,0,1,2
BAH,1,0,1,2
DOM,1,0,0,1
CMR,1,0,0,1
UAE,1,0,0,1
PRK,0,4,1,5
LAT,0,4,0,4
MEX,0,3,1,4
POR,0,2,1,3
FIN,0,2,0,2
SCG,0,2,0,2
SLO,0,1,3,4
EST,0,1,2,3
HKG,0,1,0,1
IND,0,1,0,1
PAR,0,1,0,1
COL,0,0,2,2
NGR,0,0,2,2
VEN,0,0,2,2
SYR,0,0,1,1
TTO,0,0,1,1
ERI,0,0,1,1
MGL,0,0,1,1
RUS,11,8,4,23
NOR,10,11,5,26
GER,9,7,8,24
ITA,7,5,8,20
USA,6,5,2,13
KOR,4,1,1,6
CAN,3,6,4,13
SUI,3,4,2,9
AUT,2,3,4,9
SWE,2,1,0,3
JPN,1,2,2,5
KAZ,1,2,0,3
UKR,1,0,1,2
UZB,1,0,0,1
BLR,0,2,0,2
FIN,0,1,5,6
FRA,0,1,4,5
NED,0,1,3,4
CHN,0,1,2,3
SLO,0,0,3,3
GBR,0,0,2,2
AUS,0,0,1,1
USA,39,41,33,113
CHN,38,32,19,89
JPN,27,14,17,58
GBR,22,20,22,64
ROC,20,28,23,71
AUS,17,7,22,46
NED,10,12,14,36
FRA,10,12,11,33
GER,10,11,16,37
ITA,10,10,20,40
CAN,7,7,10,24
BRA,7,6,8,21
NZL,7,6,7,20
CUB,7,3,5,15
HUN,6,7,7,20
KOR,6,4,10,20
POL,4,5,5,14
CZE,4,4,3,11
KEN,4,4,2,10
NOR,4,2,2,8
JAM,4,1,4,9
ESP,3,8,6,17
SWE,3,6,0,9
SUI,3,4,6,13
DEN,3,4,4,11
CRO,3,3,2,8
IRI,3,2,2,7
SRB,3,1,5,9
BEL,3,1,3,7
BUL,3,1,2,6
SLO,3,1,1,5
UZB,3,0,2,5
GEO,2,5,1,8
TPE,2,4,6,12
TUR,2,2,9,13
UGA,2,1,1,4
GRE,2,1,1,4
ECU,2,1,0,3
IRL,2,0,2,4
QAT,2,0,1,3
BAH,2,0,0,2
KOS,2,0,0,2
UKR,1,6,12,19
BLR,1,3,3,7
ROU,1,3,0,4
VEN,1,3,0,4
IND,1,2,4,7
HKG,1,2,3,6
SVK,1,2,1,4
PHI,1,2,1,4
RSA,1,2,0,3
AUT,1,1,5,7
EGY,1,1,4,6
INA,1,1,3,5
ETH,1,1,2,4
POR,1,1,2,4
TUN,1,1,0,2
EST,1,0,1,2
FIJ,1,0,1,2
THA,1,0,1,2
LAT,1,0,1,2
BER,1,0,0,1
PUR,1,0,0,1
MAR,1,0,0,1
COL,0,4,1,5
AZE,0,3,4,7
DOM,0,3,2,5
ARM,0,2,2,4
KGZ,0,2,1,3
MGL,0,1,3,4
SMR,0,1,2,3
ARG,0,1,2,3
JOR,0,1,1,2
MAS,0,1,1,2
NGR,0,1,1,2
MKD,0,1,0,1
NAM,0,1,0,1
LTU,0,1,0,1
TKM,0,1,0,1
KSA,0,1,0,1
BRN,0,1,0,1
KAZ,0,0,8,8
MEX,0,0,4,4
FIN,0,0,2,2
BUR,0,0,1,1
SYR,0,0,1,1
GRN,0,0,1,1
MDA,0,0,1,1
CIV,0,0,1,1
BOT,0,0,1,1
GHA,0,0,1,1
KUW,0,0,1,1
GER,12,9,8,29
NOR,10,10,5,25
RUS,9,6,3,18
CAN,6,5,4,15
USA,6,3,4,13
NED,5,4,2,11
JPN,5,1,4,10
AUT,3,5,9,17
KOR,3,1,2,6
ITA,2,6,2,10
FIN,2,4,6,12
SUI,2,2,3,7
FRA,2,1,5,8
CZE,1,1,1,3
BUL,1,0,0,1
CHN,0,6,2,8
SWE,0,2,1,3
DEN,0,1,0,1
UKR,0,1,0,1
KAZ,0,0,2,2
BLR,0,0,2,2
GBR,0,0,1,1
BEL,0,0,1,1
AUS,0,0,1,1
RUS,11,9,9,29
NOR,11,6,9,26
CAN,10,10,5,25
USA,9,9,10,28
NED,8,7,9,24
GER,8,6,5,19
SUI,7,2,2,11
BLR,5,0,1,6
AUT,4,8,5,17
FRA,4,4,7,15
POL,4,1,1,6
CHN,3,4,2,9
KOR,3,3,2,8
SWE,2,7,6,15
CZE,2,4,3,9
SLO,2,2,4,8
JPN,1,4,3,8
FIN,1,3,1,5
GBR,1,1,3,5
LAT,1,1,3,5
UKR,1,1,0,2
SVK,1,0,0,1
ITA,0,2,7,9
AUS,0,2,1,3
CRO,0,1,0,1
KAZ,0,0,1,1
NOR,13,5,7,25
GER,12,16,8,36
USA,10,13,11,34
CAN,7,3,7,17
RUS,5,4,4,13
FRA,4,5,2,11
ITA,4,4,5,13
FIN,4,2,1,7
NED,3,5,0,8
AUT,3,4,10,17
SUI,3,2,6,11
CRO,3,1,0,4
CHN,2,2,4,8
KOR,2,2,0,4
AUS,2,0,0,2
CZE,1,2,0,3
EST,1,1,1,3
GBR,1,0,1,2
SWE,0,2,5,7
BUL,0,1,2,3
POL,0,1,1,2
JPN,0,1,1,2
BLR,0,0,1,1
SLO,0,0,1,1
USA,48,26,30,104
CHN,39,31,22,92
GBR,29,18,18,65
RUS,18,21,26,65
KOR,13,9,9,31
GER,11,20,13,44
FRA,11,11,13,35
AUS,8,15,12,35
ITA,8,9,11,28
HUN,8,4,6,18
JPN,7,14,17,38
IRI,7,5,1,13
NED,6,6,8,20
NZL,6,2,5,13
UKR,5,4,10,19
CUB,5,3,7,15
ESP,4,10,6,20
JAM,4,5,4,13
CZE,4,4,3,11
RSA,4,1,1,6
PRK,4,0,3,7
BRA,3,5,9,17
KAZ,3,2,6,11
POL,3,2,6,11
ETH,3,2,3,8
CRO,3,1,2,6
CAN,2,6,10,18
